,seed,num_modules,module_max_qubits,module_max_gates,buffer_distance,reduced_distance,max_allowed_weight,num_qubits_x,num_qubits_y,circuit_depth,q_map_depth,circuit_total_qutbis,q_map_total_qubits,circuit_gate_count,q_map_gate_count,circuit_t_count,q_map_t_count,circuit_t_depth,q_map_t_depth,time
38,39.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,13.0,9.0,4.0,15.0,15.0,0.0,0.0,0.0,0.0,0.1
39,40.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,8.0,8.0,18.0,18.0,2.0,2.0,1.0,1.0,6.5
40,41.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,12.0,11.0,9.0,18.0,18.0,1.0,1.0,1.0,1.0,15.0
41,42.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,5.0,6.0,6.0,9.0,9.0,4.0,4.0,3.0,1.0,0.4
42,43.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,7.0,6.0,5.0,11.0,11.0,1.0,1.0,1.0,1.0,0.2
43,44.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,5.0,6.0,8.0,7.0,12.0,12.0,0.0,0.0,0.0,0.0,8.4
44,45.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,9.0,9.0,6.0,14.0,14.0,0.0,0.0,0.0,0.0,2.6
45,46.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,7.0,8.0,10.0,9.0,21.0,21.0,2.0,2.0,1.0,1.0,6.7
46,47.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,10.0,10.0,19.0,19.0,0.0,0.0,0.0,0.0,13.7
47,48.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,7.0,11.0,10.0,13.0,13.0,1.0,1.0,1.0,1.0,10.7
48,49.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,8.0,8.0,7.0,13.0,13.0,1.0,1.0,1.0,1.0,0.6
49,50.0,4.0,4.0,6.0,0.0,,3.0,5.0,5.0,6.0,10.0,9.0,8.0,16.0,16.0,2.0,2.0,2.0,1.0,1.3
