,seed,num_modules,module_max_qubits,module_max_gates,buffer_distance,reduced_distance,max_allowed_weight,num_qubits_x,num_qubits_y,circuit_depth,q_map_depth,circuit_total_qutbis,q_map_total_qubits,circuit_gate_count,q_map_gate_count,circuit_t_count,q_map_t_count,circuit_t_depth,q_map_t_depth,time
12,13.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,8.0,8.0,10.0,14.0,14.0,3.0,3.0,1.0,2.0,17.8
13,14.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,7.0,12.0,8.0,8.0,19.0,19.0,2.0,2.0,1.0,1.0,5.2
14,15.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,7.0,9.0,8.0,13.0,13.0,0.0,0.0,0.0,0.0,21.7
15,16.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,4.0,9.0,9.0,6.0,13.0,13.0,0.0,0.0,0.0,0.0,17.3
16,17.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,8.0,11.0,11.0,8.0,16.0,16.0,2.0,2.0,2.0,1.0,148.6
17,18.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,9.0,8.0,7.0,18.0,18.0,0.0,0.0,0.0,0.0,4.0
18,19.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,4.0,6.0,9.0,9.0,13.0,13.0,4.0,4.0,2.0,1.0,14.6
19,20.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,11.0,15.0,9.0,4.0,18.0,18.0,6.0,6.0,2.0,2.0,0.1
20,21.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,7.0,9.0,9.0,8.0,17.0,17.0,2.0,2.0,1.0,1.0,110.9
21,22.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,14.0,9.0,7.0,5.0,20.0,17.0,7.0,7.0,2.0,2.0,0.4
22,23.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,6.0,9.0,9.0,18.0,18.0,6.0,6.0,1.0,1.0,47.0
23,24.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,5.0,7.0,7.0,13.0,13.0,7.0,7.0,3.0,2.0,49.5
24,25.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,4.0,8.0,11.0,10.0,18.0,18.0,3.0,3.0,1.0,1.0,130.2
25,26.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,9.0,12.0,11.0,8.0,18.0,18.0,7.0,7.0,2.0,2.0,7.7
26,27.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,7.0,10.0,7.0,7.0,17.0,17.0,8.0,8.0,2.0,2.0,9.9
27,28.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,7.0,10.0,7.0,7.0,14.0,14.0,0.0,0.0,0.0,0.0,4.6
28,29.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,11.0,7.0,4.0,19.0,19.0,0.0,0.0,0.0,0.0,0.5
29,30.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,4.0,6.0,9.0,9.0,11.0,13.0,0.0,0.0,0.0,0.0,50.7
30,31.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,8.0,9.0,9.0,13.0,13.0,1.0,1.0,1.0,1.0,34.5
31,32.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,10.0,8.0,6.0,12.0,12.0,0.0,0.0,0.0,0.0,2.3
32,33.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,11.0,8.0,8.0,6.0,17.0,14.0,3.0,3.0,1.0,1.0,1.1
33,34.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,6.0,11.0,10.0,17.0,17.0,1.0,1.0,1.0,1.0,255.3
34,35.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,7.0,10.0,9.0,15.0,15.0,2.0,2.0,1.0,1.0,74.8
35,36.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,7.0,10.0,9.0,21.0,21.0,0.0,0.0,0.0,0.0,81.2
36,37.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,7.0,8.0,9.0,9.0,15.0,15.0,5.0,5.0,2.0,1.0,22.3
37,38.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,7.0,8.0,12.0,15.0,19.0,19.0,4.0,4.0,1.0,1.0,452.1
38,39.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,13.0,9.0,4.0,15.0,15.0,0.0,0.0,0.0,0.0,0.1
39,40.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,8.0,8.0,7.0,18.0,18.0,2.0,2.0,1.0,1.0,23.3
40,41.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,12.0,11.0,9.0,18.0,18.0,1.0,1.0,1.0,1.0,71.9
41,42.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,5.0,6.0,6.0,9.0,9.0,4.0,4.0,2.0,1.0,1.0
42,43.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,7.0,6.0,6.0,11.0,11.0,1.0,1.0,1.0,1.0,0.4
43,44.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,5.0,6.0,8.0,8.0,12.0,12.0,0.0,0.0,0.0,0.0,44.9
44,45.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,9.0,9.0,7.0,14.0,14.0,0.0,0.0,0.0,0.0,7.9
45,46.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,7.0,8.0,10.0,9.0,21.0,21.0,2.0,2.0,1.0,1.0,45.5
46,47.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,8.0,10.0,9.0,19.0,19.0,0.0,0.0,0.0,0.0,68.1
47,48.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,7.0,11.0,11.0,13.0,13.0,1.0,1.0,1.0,1.0,75.1
48,49.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,8.0,8.0,6.0,13.0,13.0,1.0,1.0,1.0,1.0,1.0
49,50.0,4.0,4.0,6.0,0.0,,3.0,6.0,6.0,6.0,10.0,9.0,7.0,16.0,16.0,2.0,2.0,1.0,1.0,4.1
