,seed,num_modules,module_max_qubits,module_max_gates,buffer_distance,reduced_distance,max_allowed_weight,num_qubits_x,num_qubits_y,circuit_depth,q_map_depth,circuit_total_qutbis,q_map_total_qubits,circuit_gate_count,q_map_gate_count,circuit_t_count,q_map_t_count,circuit_t_depth,q_map_t_depth,time
0,1.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,10.0,10.0,64.0,4.0,21.0,21.0,1.0,1.0,1.0,1.0,1.3
1,2.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,6.0,6.0,64.0,12.0,17.0,17.0,4.0,4.0,1.0,1.0,186.6
2,3.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,7.0,12.0,64.0,8.0,20.0,20.0,3.0,3.0,1.0,1.0,52.8
3,4.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,7.0,9.0,64.0,3.0,10.0,10.0,2.0,2.0,1.0,1.0,0.2
4,5.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,8.0,10.0,64.0,9.0,16.0,16.0,5.0,5.0,1.0,2.0,1163.8
5,6.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,9.0,10.0,64.0,12.0,22.0,22.0,4.0,4.0,1.0,1.0,1480.7
6,7.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,8.0,8.0,64.0,6.0,16.0,16.0,0.0,0.0,0.0,0.0,179.4
7,8.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,16.0,14.0,64.0,3.0,22.0,19.0,5.0,5.0,1.0,1.0,0.3
8,9.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,5.0,11.0,64.0,8.0,19.0,19.0,3.0,3.0,2.0,1.0,78.4
9,10.0,4.0,4.0,6.0,0.0,,3.0,8.0,8.0,6.0,8.0,64.0,10.0,17.0,17.0,0.0,0.0,0.0,0.0,1261.4
