,seed,num_modules,module_max_qubits,module_max_gates,buffer_distance,reduced_distance,max_allowed_weight,num_qubits_x,num_qubits_y,circuit_depth,q_map_depth,circuit_total_qutbis,q_map_total_qubits,circuit_gate_count,q_map_gate_count,circuit_t_count,q_map_t_count,circuit_t_depth,q_map_t_depth,time
0,1.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,10.0,10.0,49.0,4.0,21.0,21.0,1.0,1.0,1.0,1.0,0.8
1,2.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,6.0,6.0,49.0,12.0,17.0,17.0,4.0,4.0,1.0,1.0,112.2
2,3.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,7.0,12.0,49.0,8.0,20.0,20.0,3.0,3.0,1.0,1.0,36.7
3,4.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,7.0,9.0,49.0,3.0,10.0,10.0,2.0,2.0,1.0,1.0,0.2
4,5.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,8.0,10.0,49.0,7.0,16.0,16.0,5.0,5.0,1.0,2.0,371.5
5,6.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,9.0,10.0,49.0,9.0,22.0,22.0,4.0,4.0,1.0,1.0,426.1
6,7.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,8.0,8.0,49.0,5.0,16.0,16.0,0.0,0.0,0.0,0.0,61.6
7,8.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,16.0,14.0,49.0,3.0,22.0,19.0,5.0,5.0,2.0,1.0,0.3
8,9.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,5.0,11.0,49.0,7.0,19.0,19.0,3.0,3.0,2.0,1.0,43.3
9,10.0,4.0,4.0,6.0,0.0,,3.0,7.0,7.0,6.0,8.0,49.0,11.0,17.0,17.0,0.0,0.0,0.0,0.0,373.3
