name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result0,2024-11-06 15:53:20,23.145803213119507,1768,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 4], 2: [2, 3], 3: [1, 3, 5, 6], 4: [2, 7]}","[{0: [4949, 5049], 2: [4950, 5050]}, {4: [4950, 4850], 1: [4949, 4948], 3: [5049, 5050, 5048, 5051]}]",7,8,25,0,5,1,6,8,25,0,5
result1,2024-11-06 15:53:46,32.116618156433105,3480,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [6, 7, 8, 9], 3: [4, 6, 10, 11], 4: [3, 5]}","[{0: [4850, 4851, 4951, 4950], 1: [5049, 5050], 2: [5048, 5148, 4948, 4949]}, {4: [4950, 5050], 3: [5049, 5048, 5047, 4947]}]",10,12,27,0,4,1,8,12,27,0,4
result2,2024-11-06 15:54:21,29.967358112335205,2125,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [1, 10, 11, 12], 3: [7, 8, 9], 4: [5, 12, 7]}","[{1: [4848, 4849, 4948, 4949], 3: [5049, 5050, 5051], 0: [5149, 5048, 5148]}, {2: [5048, 4947, 5047, 4847]}, {4: [4948, 4848, 4849]}]",12,13,24,3,3,1,9,13,24,0,3
result3,2024-11-06 15:54:54,30.70415043830872,871,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [4, 7, 8, 9], 3: [0, 5, 6], 4: [2, 7, 10, 11]}","[{0: [5048, 5049, 4949], 1: [4850, 4849]}, {3: [5048, 5046, 5047], 2: [4849, 4750, 4749, 4751]}, {4: [4749, 4750, 4649, 4549]}]",11,12,24,2,7,1,7,12,24,0,7
result4,2024-11-06 15:55:28,25.00183129310608,2430,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2], 2: [0, 3, 4], 3: [1, 5], 4: [2, 6]}","[{0: [4949, 4950]}, {1: [4950, 4951], 2: [4949, 4948, 5048]}, {3: [4950, 4850], 4: [4951, 4851]}]",9,7,18,0,1,1,9,7,18,0,1
result5,2024-11-06 15:55:56,49.09044361114502,8653,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [8, 9, 10, 11], 3: [7, 8, 14, 15], 4: [0, 6, 12, 13]}","[{0: [4950, 4849, 4850, 4851], 1: [5051, 5150, 5050, 5049], 2: [5048, 4949, 4948, 4848]}, {3: [5049, 5048, 5148, 4948], 4: [4950, 5050, 5150, 5051]}]",8,13,29,0,4,1,7,16,29,0,4
result6,2024-11-06 15:56:49,29.73046612739563,8314,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 6, 7, 8], 2: [2, 3, 4, 5], 3: [0, 9, 10], 4: [5, 9]}","[{2: [4849, 4850, 4950, 4949], 0: [5049, 5149]}, {3: [5049, 5048, 4948], 1: [5149, 5249, 5250, 5350]}, {4: [4949, 4948]}]",10,11,24,1,1,1,8,11,24,0,1
result7,2024-11-06 15:57:21,32.804062843322754,6066,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [3, 7, 8], 3: [7, 11, 12], 4: [1, 4, 9, 10]}","[{1: [5150, 5050, 4950], 0: [5049, 5149, 5148, 5048]}, {2: [5048, 5047, 4947], 4: [5149, 5150, 5249, 5250]}, {3: [5047, 4947, 5046]}]",12,12,24,0,2,1,5,13,24,0,2
result8,2024-11-06 15:57:57,24.43785786628723,4484,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [2, 4], 3: [1, 6, 7], 4: [1, 8, 9]}","[{1: [4951, 5051], 0: [4851, 4850, 4950, 5050]}, {2: [4950, 4951], 3: [4850, 4751, 4851]}, {4: [4850, 4750, 4849]}]",12,9,26,0,10,1,8,10,26,0,10
result9,2024-11-06 15:58:25,27.831265926361084,5568,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 6, 7, 8], 2: [0, 9, 10], 3: [2, 3, 4, 5], 4: [9, 5]}","[{3: [4849, 4949, 4950, 4948], 0: [5048, 5049]}, {2: [5048, 5149, 5148], 1: [5049, 4949, 4950, 4849]}, {4: [4949, 4948]}]",9,8,22,2,0,1,4,11,22,0,0
