name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result0,2024-11-06 13:07:39,24.954318046569824,9643,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [0, 5, 6, 7], 3: [4, 8]}","[{1: [5051, 4951], 0: [4851, 4850, 4849, 4949]}, {3: [5051, 5050], 2: [4851, 4951, 4949, 4950]}]",10,8,20,0,11,2,6,9,20,0,11
result1,2024-11-06 13:08:07,30.60141611099243,9574,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [1, 4, 9, 10], 3: [2, 7, 8]}","[{1: [4949, 4950, 5050, 5051], 0: [4850, 4951, 4851]}, {3: [4851, 4752, 4852], 2: [4951, 4950, 4953, 4952]}]",6,11,17,0,2,2,5,11,17,0,2
result3,2024-11-06 13:11:42,22.47359848022461,3870,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 6, 7, 8], 2: [2, 3, 4, 5], 3: [7, 2]}","[{2: [5049, 4949, 4948, 5048], 0: [5051, 5050]}, {1: [5050, 5051, 4850, 4950]}, {3: [4850, 4849]}]",9,9,16,2,4,2,6,9,16,0,4
result4,2024-11-06 13:12:08,25.89960741996765,372,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3], 2: [0, 4, 5], 3: [5, 6, 7]}","[{0: [4949, 4950]}, {1: [4950, 5050, 5051], 2: [4949, 4749, 4849]}, {3: [4849, 4649, 4749]}]",11,7,16,0,4,2,5,8,16,0,4
result5,2024-11-06 13:12:37,25.47017788887024,8240,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [1, 4], 2: [2, 5, 6], 3: [2, 7, 8, 9]}","[{0: [4949, 5050, 4950, 4850]}, {1: [5050, 5049], 2: [4950, 4850, 4750]}, {3: [4950, 4750, 4850, 4849]}]",8,7,13,0,0,2,5,10,13,0,0
result6,2024-11-06 13:13:06,25.12300205230713,7727,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 7, 8, 9], 3: [5, 2]}","[{1: [4951, 4851, 4950, 5050], 0: [4948, 4848, 4949]}, {2: [4949, 4948, 4749, 4849]}, {3: [4950, 4949]}]",10,9,18,0,2,2,8,10,18,0,2
result7,2024-11-06 13:13:35,29.417713403701782,8688,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 5, 6], 2: [2, 3, 4], 3: [0, 2, 7, 8]}","[{2: [4850, 4849, 4848], 0: [4950, 4949]}, {1: [4949, 4948, 5048], 3: [4950, 4850, 4750, 4749]}]",9,9,19,0,4,2,9,9,19,0,4
result8,2024-11-06 13:14:08,24.56767725944519,1135,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [5, 7], 3: [3, 4]}","[{0: [4948, 5048, 5049, 5149], 1: [5150, 5050, 5151]}, {2: [5050, 5049], 3: [5149, 5150]}]",8,7,21,0,0,2,7,8,21,0,0
result9,2024-11-06 13:14:36,26.402994871139526,1557,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3, 4], 2: [0, 5], 3: [5, 6, 7, 8]}","[{0: [4949, 4950]}, {2: [4949, 4948], 1: [4950, 4850, 5051, 5050]}, {3: [4948, 4848, 4748, 4648]}]",10,9,19,0,1,2,7,9,19,0,1
result10,2024-11-06 13:15:05,32.74077296257019,4922,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [1, 5, 10], 3: [2, 7, 8, 9]}","[{0: [5149, 5049, 5048, 4948], 1: [5051, 5050, 4950]}, {2: [5049, 5050, 4950], 3: [5048, 5047, 4947, 4948]}]",8,9,21,0,4,2,6,11,21,0,4
