name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result0,2024-11-06 14:17:24,28.93004536628723,788,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [1, 8, 9, 10], 3: [3, 5, 11]}","[{1: [5050, 5049, 5149, 5150], 0: [4851, 4850, 4849, 4949]}, {3: [4949, 5049, 5048], 2: [4850, 4849, 4749, 4750]}]",6,11,17,0,2,3,6,12,17,0,2
result2,2024-11-06 14:21:11,43.14979910850525,7349,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3], 2: [3, 4], 3: [2, 5]}","[{0: [4949, 4950]}, {1: [4950, 4850, 4750]}, {3: [4850, 4851], 2: [4750, 4749]}]",9,6,15,0,7,3,7,6,15,0,7
result3,2024-11-06 14:22:21,48.8598747253418,9732,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [0, 6], 3: [5, 7, 8]}","[{1: [4949, 4950, 5050, 5051], 0: [5151, 5149, 5150]}, {2: [5151, 5051], 3: [5050, 4950, 4949]}]",6,7,15,0,0,3,6,9,15,0,0
result4,2024-11-06 14:23:38,26.21575713157653,639,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [5, 8, 9, 10], 3: [1, 7]}","[{0: [5149, 5049, 5048, 4948], 1: [4950, 4850, 4849, 4949]}, {3: [5049, 4949], 2: [4850, 4851, 5050, 4950]}]",6,10,21,0,8,3,5,11,21,0,8
result5,2024-11-06 14:24:22,19.58023500442505,7195,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [2, 3], 3: [1, 6, 7]}","[{0: [4948, 4848, 4849], 1: [4949, 5049, 5050]}, {2: [4849, 4949], 3: [4848, 4847, 4947]}]",7,8,16,0,3,3,7,8,16,0,3
result6,2024-11-06 14:24:58,26.4352445602417,5498,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [0, 4], 2: [0, 5, 6, 7], 3: [0, 8, 9, 10]}","[{0: [5049, 4949, 4950, 5050]}, {1: [5049, 4949]}, {2: [5049, 5048, 4849, 4949]}, {3: [5049, 5048, 4849, 4949]}]",11,6,19,0,1,3,7,11,19,0,1
result7,2024-11-06 14:25:44,19.49212765693665,4878,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [3, 5, 6], 3: [1, 3]}","[{0: [4949, 5049, 5048], 1: [5050, 4950]}, {2: [5050, 4850, 4950]}, {3: [5049, 5050]}]",7,6,13,0,2,3,7,7,13,0,2
result8,2024-11-06 14:26:18,26.550971269607544,4700,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3, 4], 2: [0, 5], 3: [5, 6, 7, 8]}","[{0: [4949, 4950]}, {2: [4949, 4948], 1: [4950, 4951, 4952, 5052]}, {3: [4948, 4848, 4748, 4648]}]",9,9,16,0,4,3,5,9,16,0,4
result9,2024-11-06 14:27:01,24.47629690170288,4552,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [0, 4], 2: [1, 5, 6], 3: [1, 7, 8]}","[{0: [5050, 4950, 4949, 5049]}, {1: [5050, 5049], 2: [4950, 4850, 4750]}, {3: [4950, 4850, 4750]}]",10,6,22,0,8,3,7,9,22,0,8
result10,2024-11-06 14:27:41,23.393416166305546,8980,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3], 2: [2, 4, 5], 3: [4, 6, 7]}","[{0: [4950, 4949]}, {1: [4949, 4849, 4948]}, {2: [4849, 4649, 4749]}, {3: [4649, 4549, 4449]}]",9,8,13,0,4,3,7,8,13,0,4
result11,2024-11-06 14:28:20,24.085520029068,7816,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 6, 8], 3: [1, 7]}","[{1: [4949, 4950, 5050, 5051], 0: [4850, 4851, 4951]}, {3: [4851, 4852], 2: [4951, 5051, 5050]}]",6,8,13,0,0,3,4,9,13,0,0
result12,2024-11-06 14:29:10,53.92656230926514,1743,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [3, 4, 5], 2: [4, 8, 9], 3: [0, 6, 7]}","[{0: [4950, 4949, 5049, 4849]}, {1: [4849, 4749, 4750], 3: [4950, 5050, 5051]}, {2: [4749, 4649, 4549]}]",9,10,15,0,4,3,5,10,15,0,4
result14,2024-11-06 14:33:34,88.74336528778076,4394,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [1, 3, 4], 2: [0, 5, 6, 7], 3: [2, 8, 9]}","[{0: [4849, 4949, 4948]}, {3: [4948, 4848, 4847], 1: [4949, 4950, 4951], 2: [4849, 4749, 4750, 4850]}]",6,10,14,0,4,3,6,10,14,0,4
result15,2024-11-06 14:35:20,20.607335329055783,7038,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [2, 3], 3: [1, 6, 7]}","[{0: [4849, 4848, 4948], 1: [4949, 5049, 5050]}, {2: [4948, 4949], 3: [4848, 4849, 4748]}]",5,7,13,0,1,3,4,8,13,0,1
result16,2024-11-06 14:35:58,20.071128845214844,1365,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [3, 7], 3: [2, 3, 8]}","[{1: [5048, 4848, 4948, 4949], 0: [4950, 5050, 5049]}, {2: [5048, 4948]}, {3: [5049, 5048, 4948]}]",12,7,18,0,2,3,9,9,18,0,2
result17,2024-11-06 14:36:35,21.920391082763672,8028,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [0, 6], 2: [4, 5], 3: [1, 4, 7, 8]}","[{0: [4950, 4951, 4850, 4851], 2: [5051, 5050]}, {1: [4950, 4949], 3: [4952, 5051, 5052, 5050]}]",6,9,14,1,4,3,5,9,14,0,4
result18,2024-11-06 14:37:13,28.3261947631836,4536,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2, 3], 2: [1, 4, 5, 6], 3: [4, 7, 8]}","[{0: [4950, 4949]}, {1: [4950, 4849, 4850], 2: [4949, 5049, 5048, 5050]}, {3: [5049, 4949, 4849]}]",10,7,16,0,2,3,5,9,16,0,2
result19,2024-11-06 14:37:57,27.75889229774475,8304,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [5, 7, 8], 3: [3, 6, 9, 10]}","[{1: [5150, 5050, 4950], 0: [4851, 4850, 4849, 4951]}, {2: [5050, 5051, 5049], 3: [4951, 4950, 4949, 4849]}]",10,10,20,0,4,3,5,11,20,0,4
result20,2024-11-06 14:38:43,54.57637667655945,4104,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [0, 8, 9, 10], 2: [4, 5, 6, 7], 3: [1, 6, 11, 12]}","[{2: [5048, 5148, 5149, 4948], 0: [4951, 5049, 5050, 5051]}, {3: [5049, 5149, 5150, 5050], 1: [4951, 4952, 4852, 4752]}]",7,12,18,0,5,3,6,13,18,0,5
result21,2024-11-06 14:39:55,18.998794555664062,480,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [3, 5, 6, 7], 3: [0, 5]}","[{0: [4848, 4948, 4949], 1: [4849, 4850]}, {2: [4849, 4850, 4649, 4749]}, {3: [4848, 4748]}]",10,8,17,3,3,3,7,8,17,0,3
result22,2024-11-06 14:40:31,22.590352058410645,7756,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2], 2: [1, 3], 3: [2, 4]}","[{0: [4950, 4949]}, {1: [4949, 4849]}, {2: [4949, 4950], 3: [4849, 4749]}]",7,4,13,0,5,3,7,5,13,0,5
result23,2024-11-06 14:41:08,21.029750108718872,2065,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [3, 4], 3: [0, 7]}","[{1: [5050, 5051, 4951], 0: [4950, 4849, 4949, 5049]}, {3: [4950, 4850], 2: [5049, 5050]}]",6,8,14,0,5,3,6,8,14,0,5
result24,2024-11-06 14:41:45,20.886309146881104,4842,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 4], 2: [2, 3], 3: [1, 2, 5, 6]}","[{0: [4949, 5049], 2: [5050, 4950]}, {1: [4949, 4948], 3: [5049, 4950, 5050, 5051]}]",8,6,17,1,0,3,8,7,17,0,0
result25,2024-11-06 14:42:20,27.055288314819336,2728,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2, 3, 4], 2: [1, 5, 6], 3: [6, 7, 8]}","[{0: [4950, 4949]}, {2: [4949, 4849, 4749], 1: [4950, 4851, 4951, 5051]}, {3: [4749, 4649, 4748]}]",13,9,18,0,1,3,9,9,18,0,1
result26,2024-11-06 14:43:03,20.53323650360108,6459,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [4, 7], 3: [0, 3]}","[{1: [5048, 4848, 4948, 4949], 0: [5049, 5050, 4950]}, {2: [4848, 4847], 3: [5049, 5048]}]",9,8,19,0,6,3,9,8,19,0,6
result27,2024-11-06 14:43:39,32.3428475856781,4636,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [5, 8, 9, 10], 3: [0, 4, 11]}","[{1: [5150, 5149, 5049, 5050], 0: [5151, 5051, 4951, 4851]}, {3: [5151, 5150, 5250], 2: [5149, 5050, 5049, 5051]}]",8,9,22,0,8,3,8,12,22,0,8
result28,2024-11-06 14:44:29,23.654625415802,8308,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2], 2: [2, 3], 3: [3, 4]}","[{0: [4949, 4950]}, {1: [4950, 4850]}, {2: [4850, 4750]}, {3: [4750, 4650]}]",12,5,14,0,0,3,7,5,14,0,0
result29,2024-11-06 14:45:05,23.598161220550537,410,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2, 3, 4], 2: [2, 5], 3: [2, 6]}","[{0: [4949, 4950]}, {1: [4949, 4849, 4749, 4649]}, {2: [4849, 4749]}, {3: [4849, 4749]}]",11,5,12,0,5,3,6,7,12,0,5
