name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result0,2024-11-06 14:26:08,20.83085608482361,7331,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [1, 4, 9], 3: [6, 7, 8], 4: [9, 7]}","[{0: [5048, 4948, 4848], 1: [5049, 4949, 4849], 3: [5050, 4950, 4850]}, {2: [4948, 4949, 4848]}, {4: [4848, 4849]}]",12,9,26,2,1,2,9,10,26,0,1
result2,2024-11-06 14:29:32,43.2702202796936,1954,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [4, 11, 12], 3: [1, 8, 9, 10], 4: [4, 8]}","[{1: [4949, 4849, 4848, 4948], 0: [5050, 4950, 4850, 4851]}, {2: [5049, 4949, 4849], 3: [4950, 5050, 4952, 4951]}, {4: [5049, 5050]}]",14,11,24,1,7,2,9,13,24,0,7
result3,2024-11-06 14:30:19,26.25010299682617,2713,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [4, 7], 3: [0, 5, 6], 4: [3, 6, 8, 9]}","[{0: [4949, 5049, 5048], 1: [4849, 4850]}, {2: [4850, 4851], 3: [4949, 4948, 5048]}, {4: [4849, 4948, 4848, 4949]}]",10,8,20,1,1,2,6,10,20,0,1
result4,2024-11-06 14:30:49,26.906492948532104,7601,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 6], 2: [2, 3, 4, 5], 3: [2, 7, 8], 4: [1, 3, 9, 10]}","[{2: [4949, 4950, 4849, 4850], 0: [5051, 5050]}, {1: [5050, 5049], 3: [4949, 4948, 4947]}, {4: [5050, 4950, 4750, 4850]}]",10,10,24,0,8,2,7,11,24,0,8
result5,2024-11-06 14:31:19,32.224076986312866,163,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [6, 7, 8], 3: [7, 9, 10], 4: [2, 4, 9]}","[{0: [4850, 4851, 4951, 4950], 1: [5051, 5151], 2: [5049, 5050, 5150]}, {3: [5050, 4950, 4850]}, {4: [4851, 5051, 4951]}]",13,9,22,2,0,2,10,11,22,0,0
result6,2024-11-06 14:31:55,83.29461455345154,4180,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [3, 8, 9, 10], 3: [0, 5, 6, 7], 4: [3, 6, 11, 12]}","[{0: [4949, 5049, 5048], 1: [4950, 5050]}, {2: [4950, 5150, 5050, 5149], 3: [4849, 4750, 4850, 4650]}, {4: [4950, 4850, 4949, 4849]}]",13,11,29,1,5,2,7,13,29,0,5
result7,2024-11-06 14:33:22,31.023689031600952,9706,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [5, 6, 7, 8], 3: [0, 6], 4: [3, 8]}","[{1: [5051, 4951], 0: [5049, 5050, 4950], 2: [5148, 5149, 5150, 5151]}, {4: [5051, 5151], 3: [5049, 5149]}]",8,9,18,0,5,2,8,9,18,0,5
result8,2024-11-06 14:33:57,49.06757998466492,8338,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [8, 9, 10, 11], 3: [5, 11, 12, 13], 4: [2, 8, 14]}","[{1: [4948, 4949, 4849, 4848], 2: [5051, 5151, 4951, 4950], 0: [5149, 5150, 5050, 5049]}, {4: [5050, 5051, 5150], 3: [4949, 4950, 4850, 4750]}]",6,14,20,0,5,2,5,15,20,0,5
result9,2024-11-06 14:34:49,36.51512169837952,1959,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [1, 6, 7], 3: [2, 8, 9], 4: [0, 4, 10]}","[{0: [4849, 4848, 4948], 1: [5049, 4949, 4950]}, {2: [4848, 4847, 4846], 3: [4948, 4947, 4946], 4: [4849, 4949, 4749]}]",4,11,15,0,5,2,4,11,15,0,5
result10,2024-11-06 14:35:30,29.64746928215027,5280,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [1, 3, 4], 2: [3, 6], 3: [3, 7], 4: [0, 5]}","[{0: [4849, 4949, 4948]}, {4: [4849, 4850], 1: [4949, 4950, 4948]}, {2: [4950, 4850]}, {3: [4950, 4850]}]",12,5,20,0,2,2,12,8,20,0,2
result11,2024-11-06 14:36:03,29.17305421829224,984,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [1, 7], 3: [3, 4], 4: [5, 8]}","[{1: [4951, 5051, 5050], 0: [5049, 4849, 4949, 4950]}, {2: [4849, 4850], 4: [5051, 5052], 3: [4950, 4951]}]",7,9,23,0,6,2,7,9,23,0,6
result12,2024-11-06 14:36:36,27.18778276443481,2825,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2, 3], 2: [3, 4, 5], 3: [2, 6], 4: [3, 7]}","[{0: [4950, 4949]}, {1: [4950, 4850, 4750]}, {3: [4850, 4851], 2: [4750, 4650, 4649]}, {4: [4750, 4650]}]",12,7,22,0,2,2,8,8,22,0,2
result13,2024-11-06 14:37:06,27.166109800338745,9859,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2], 2: [1, 3, 4], 3: [1, 5, 6], 4: [1, 7, 8]}","[{0: [4950, 4949]}, {1: [4950, 4850], 2: [4949, 5049, 5149]}, {3: [4949, 4849, 4948]}, {4: [4949, 4948, 4849]}]",12,7,17,0,2,2,6,9,17,0,2
result14,2024-11-06 14:37:37,29.36706614494324,4275,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2], 2: [2, 3], 3: [0, 4, 5], 4: [3, 6]}","[{0: [4949, 4950]}, {1: [4949, 4849]}, {2: [4849, 4850], 3: [4949, 5049, 5048]}, {4: [4850, 4750]}]",11,7,19,0,5,2,8,7,19,0,5
result17,2024-11-06 14:44:10,34.58396244049072,346,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [5, 10, 11], 3: [7, 8, 9], 4: [3, 4, 8]}","[{0: [5050, 5049, 5048, 4948], 1: [4949, 4950, 4951], 3: [4848, 4849, 4850]}, {4: [4948, 4949, 4849], 2: [4950, 4951, 4851]}]",8,11,21,0,1,2,6,12,21,0,1
result18,2024-11-06 14:44:48,32.12467336654663,7881,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [7, 8], 3: [1, 8, 9, 10], 4: [4, 7]}","[{1: [4849, 4850, 4851, 4951], 0: [5151, 5150, 5051], 2: [4950, 5050]}, {4: [4850, 4950], 3: [5150, 5049, 5050, 5149]}]",8,11,23,1,3,2,6,11,23,0,3
result19,2024-11-06 14:45:24,66.27203941345215,9095,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [7, 8], 3: [1, 5, 7, 12], 4: [0, 9, 10, 11]}","[{2: [5050, 5150], 1: [4851, 4951, 4950, 4850], 0: [5048, 5049, 4949]}, {3: [4949, 4950, 5050, 5049], 4: [5048, 4947, 4948, 5047]}]",10,12,28,1,0,2,6,13,28,0,0
result20,2024-11-06 14:46:34,39.52774810791016,5579,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [5, 10, 11], 3: [7, 8, 9], 4: [2, 4, 8, 12]}","[{0: [4948, 5048, 5049, 5149], 3: [5150, 5050, 5051], 1: [4949, 4848, 4849]}, {2: [4848, 4847, 4846], 4: [5049, 4949, 4950, 5050]}]",6,13,23,1,2,2,6,13,23,0,2
result21,2024-11-06 14:47:17,29.52311611175537,4010,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [0, 8, 9, 10], 2: [9, 11, 12], 3: [4, 5, 6, 7], 4: [12, 4, 13, 14]}","[{0: [4949, 4950, 4951, 4849], 3: [4948, 5050, 5049, 5048]}, {1: [4949, 4849, 4749, 4649]}, {2: [4749, 4649, 4748]}, {4: [4748, 4848, 4548, 4648]}]",15,14,26,1,9,2,8,15,26,0,9
result23,2024-11-06 14:50:50,32.776753187179565,3789,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [0, 6, 7, 8], 3: [3, 9, 10], 4: [4, 9, 11, 12]}","[{1: [4951, 5051], 0: [4851, 4850, 5050, 4950]}, {3: [4950, 4850, 4849], 2: [4851, 4852, 4752, 4751]}, {4: [4951, 4850, 4851, 4750]}]",9,11,23,0,7,2,7,13,23,0,7
result24,2024-11-06 14:51:26,33.24147891998291,6661,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3, 4], 2: [4, 5], 3: [4, 6, 7, 8], 4: [5, 9, 10]}","[{0: [4950, 4949]}, {1: [4949, 4948, 4749, 4849]}, {2: [4849, 4749]}, {4: [4749, 4649, 4750], 3: [4849, 4848, 4948, 4947]}]",15,9,25,0,6,2,9,11,25,0,6
result25,2024-11-06 14:52:03,35.38470673561096,2756,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 7, 8], 3: [5, 9, 10, 11], 4: [0, 10]}","[{1: [5051, 5050, 4950, 4949], 0: [4850, 4849, 4848]}, {2: [4848, 4847, 4948], 3: [4950, 5050, 5051, 4951]}, {4: [4850, 4851]}]",8,11,22,2,0,2,5,12,22,0,0
result26,2024-11-06 14:52:41,26.60095953941345,2485,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2], 2: [1, 3], 3: [0, 4], 4: [0, 5]}","[{0: [4949, 4950]}, {2: [4950, 4951], 1: [4949, 4948]}, {3: [4949, 4849]}, {4: [4949, 4849]}]",14,5,26,0,9,2,14,6,26,0,9
result27,2024-11-06 14:53:11,30.118443250656128,1720,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 7, 8], 3: [5, 9, 10], 4: [7, 9]}","[{1: [5050, 4949, 5049, 5149], 0: [4848, 4948, 5048]}, {3: [4949, 4948, 4848], 2: [5048, 4947, 5047]}, {4: [4947, 4948]}]",10,9,21,1,0,2,7,11,21,0,0
result28,2024-11-06 14:53:45,33.06718444824219,770,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [5, 6, 7, 8], 3: [2, 3, 9], 4: [3, 10]}","[{0: [4849, 4848, 4948], 1: [4949, 5049, 5050]}, {3: [4948, 4949, 4950], 2: [5050, 5052, 5051, 5152]}, {4: [4949, 4849]}]",8,10,21,0,6,2,7,11,21,0,6
result29,2024-11-06 14:54:22,30.13257431983948,1934,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 4, 7], 3: [6, 8, 9], 4: [8, 10]}","[{1: [5050, 5051, 4950, 4949], 0: [5149, 5150, 5151]}, {2: [5151, 5051, 5251], 3: [4949, 4848, 4849]}, {4: [4848, 4748]}]",10,11,21,0,4,2,10,11,21,0,4
result30,2024-11-06 14:54:55,25.26356792449951,5157,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [0, 5], 3: [1, 6, 7], 4: [5, 8, 9, 10]}","[{0: [4849, 4948, 4848], 1: [4950, 5050, 4949]}, {2: [4849, 4949], 3: [4948, 4848, 4748]}, {4: [4949, 4849, 4749, 4649]}]",10,9,18,0,1,2,10,11,18,0,1
result31,2024-11-06 14:55:25,29.4126296043396,8427,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [3, 7, 8], 2: [4, 5, 6], 3: [7, 5, 9], 4: [5, 10, 11]}","[{0: [4948, 5048, 5049, 5149], 2: [5050, 5150, 5151]}, {1: [5149, 5049, 5148]}, {3: [5049, 5050, 4950]}, {4: [5050, 4950, 4850]}]",13,10,19,1,4,2,7,12,19,0,4
result32,2024-11-06 14:55:57,35.70547127723694,7148,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [3, 8, 9, 10], 3: [1, 6, 7], 4: [3, 7, 11, 12]}","[{0: [5048, 4948, 4949], 1: [4848, 4849, 4850]}, {3: [4948, 4947, 4949], 2: [4849, 4749, 4748, 4750]}, {4: [4749, 4949, 4849, 4848]}]",12,10,24,2,0,2,6,13,24,0,0
result33,2024-11-06 14:56:37,27.26420474052429,7189,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [0, 3], 2: [0, 6], 3: [1, 4], 4: [2, 5]}","[{0: [4849, 4949, 4948]}, {1: [4849, 4749], 3: [4949, 5049], 4: [4948, 4848]}, {2: [4849, 4749]}]",10,6,19,0,9,2,10,7,19,0,9
result34,2024-11-06 14:57:07,28.96828293800354,3365,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [0, 5], 3: [3, 6, 7, 8], 4: [0, 3, 9, 10]}","[{0: [5049, 5048, 4949], 1: [5050, 4950]}, {2: [5049, 5048], 3: [5050, 5150, 5151, 5152]}, {4: [5049, 5050, 4849, 4949]}]",16,9,30,0,3,2,10,11,30,0,3
result35,2024-11-06 14:57:40,40.45688128471375,6246,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [4, 8, 9], 3: [2, 6, 10, 11], 4: [0, 7]}","[{1: [5050, 5051, 4951], 0: [4948, 4949, 4950, 4850]}, {4: [4948, 5048], 2: [5050, 5150, 5151], 3: [4950, 4951, 4850, 4851]}]",8,11,22,0,6,2,8,12,22,0,6
result36,2024-11-06 14:58:24,26.887990713119507,9332,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8], 3: [2, 5, 8], 4: [1, 9, 10]}","[{1: [4948, 5048, 5049], 2: [4850, 4950, 5050], 0: [4848, 4849, 4949]}, {3: [4949, 5049, 5050], 4: [4849, 4848, 4850]}]",8,9,20,0,0,2,7,11,20,0,0
result37,2024-11-06 14:58:54,81.38273167610168,7723,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [6, 10, 11, 12], 3: [2, 7, 8, 9], 4: [6, 9]}","[{1: [4949, 4950, 5050, 5051], 0: [5149, 5150, 5151]}, {2: [5051, 5050, 5049, 5149], 3: [5151, 5250, 5251, 5150]}, {4: [5051, 5050]}]",9,10,25,1,0,2,8,13,23,0,0
result38,2024-11-06 15:00:19,42.93143820762634,6387,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [1, 6, 10, 11], 3: [7, 8, 9], 4: [5, 7, 12]}","[{0: [5150, 5149, 5148], 3: [4950, 4949, 4849], 1: [5151, 5051, 5050, 5049]}, {4: [5050, 4950, 4951], 2: [5249, 5049, 5149, 4949]}]",9,12,23,1,0,2,9,13,23,0,0
result39,2024-11-06 15:01:05,27.47772026062012,1202,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [1, 7], 3: [6, 1, 8], 4: [1, 9]}","[{1: [4950, 4951, 4851, 5051], 0: [5150, 5050, 5049]}, {2: [5050, 4950]}, {3: [5051, 5050, 4951]}, {4: [5050, 4950]}]",14,7,25,0,2,2,10,10,25,0,2
result40,2024-11-06 15:01:36,24.62098741531372,4072,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8], 3: [1, 3, 8], 4: [4, 9, 10]}","[{2: [4849, 4848, 4948], 0: [5048, 5049, 5050], 1: [4949, 4950, 4850]}, {3: [5049, 4949, 5048], 4: [4950, 5050, 5150]}]",7,10,23,1,5,2,6,11,23,0,5
result41,2024-11-06 15:02:05,28.40965986251831,6596,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 7], 3: [2, 8, 9], 4: [3, 8, 10]}","[{1: [4949, 4950, 5050, 5051], 0: [5048, 5149, 5049]}, {2: [5049, 5048]}, {3: [5049, 5048, 5050]}, {4: [4949, 5048, 4948]}]",14,8,24,0,7,2,8,11,24,0,7
result42,2024-11-06 15:02:36,30.20124912261963,2060,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [5, 7, 8], 3: [7, 9, 10], 4: [2, 8, 11]}","[{0: [4948, 5048, 5049, 5149], 1: [4950, 5050, 5051]}, {2: [5050, 4950, 4850]}, {3: [4950, 4951, 4851], 4: [4949, 4850, 4849]}]",9,12,22,1,3,2,9,12,22,0,3
result43,2024-11-06 15:03:10,30.88697361946106,2112,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 4], 2: [2, 3], 3: [1, 3, 5, 6], 4: [2, 7]}","[{0: [5049, 4949], 2: [5050, 4950]}, {4: [5050, 5051], 1: [5049, 5048], 3: [4949, 4950, 4749, 4849]}]",9,8,27,0,4,2,8,8,27,0,4
result44,2024-11-06 15:03:45,35.51659107208252,8496,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [6, 7, 8], 3: [0, 5], 4: [4, 9, 10, 11]}","[{1: [5048, 4948, 4848, 4949], 0: [4849, 4851, 4850]}, {3: [4849, 4848], 2: [4949, 4950, 5049], 4: [4948, 5047, 4947, 4946]}]",8,12,18,0,7,2,6,12,18,0,7
result45,2024-11-06 15:04:24,31.53432893753052,4265,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [7, 8, 9], 3: [8, 10, 11, 12], 4: [2, 4, 12, 13]}","[{1: [5050, 5051, 4951], 2: [4950, 4949, 4948], 0: [5148, 5149, 5049, 5048]}, {3: [4949, 4849, 4749, 4649]}, {4: [5049, 5050, 4950, 4850]}]",11,14,24,4,2,2,6,14,24,0,2
result46,2024-11-06 15:04:59,32.132320404052734,4896,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [2, 5], 3: [2, 11], 4: [3, 8, 9, 10]}","[{1: [4848, 4849, 4949, 4948], 0: [4951, 4950, 4850, 4851]}, {2: [4850, 4849], 4: [4851, 4952, 4951, 4852]}, {3: [4850, 4750]}]",9,11,24,0,8,2,7,12,24,0,8
result47,2024-11-06 15:05:34,25.380736112594604,6950,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 4, 5], 2: [2, 3], 3: [4, 2], 4: [2, 6]}","[{0: [5049, 4949], 2: [4950, 5050]}, {1: [4949, 4849, 4749]}, {3: [4849, 4850]}, {4: [4850, 4750]}]",9,8,13,1,0,2,7,7,13,0,0
result48,2024-11-06 15:06:03,28.068790674209595,8252,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [3, 5], 3: [6, 7, 8], 4: [4, 8, 9, 10]}","[{1: [5051, 4951], 3: [5149, 5150, 5050], 0: [5049, 4949, 4849, 4950]}, {2: [4950, 4951], 4: [5051, 5050, 5150, 5049]}]",10,9,24,0,12,2,9,11,24,0,12
result49,2024-11-06 15:06:34,62.57048463821411,5943,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [4, 8, 9, 10], 3: [7, 11, 12, 13], 4: [3, 10]}","[{1: [5150, 5149, 5049, 5048], 0: [4950, 4951, 5051, 5151]}, {2: [5150, 5050, 5051, 5052], 3: [5048, 5047, 4947, 4847]}, {4: [5051, 5052]}]",8,13,22,1,1,2,7,14,22,0,1
result50,2024-11-06 15:07:40,24.67686891555786,1181,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [1, 4, 6], 3: [0, 5], 4: [6, 7]}","[{0: [5048, 5049, 4949], 1: [4950, 5050]}, {3: [5048, 5148], 2: [5049, 5050, 5150]}, {4: [5150, 5050]}]",8,7,18,0,2,2,7,8,18,0,2
result51,2024-11-06 15:08:08,62.03810787200928,8729,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [2, 8, 9, 10], 2: [4, 5, 6, 7], 3: [2, 13, 14], 4: [3, 4, 11, 12]}","[{2: [5149, 5148, 5048, 4948], 0: [5050, 4950, 4949, 5049]}, {4: [5049, 5149, 5148, 5048], 1: [4949, 4948, 4749, 4849]}, {3: [4949, 4849, 4749]}]",10,10,23,0,4,2,9,15,23,0,4
result52,2024-11-06 15:09:14,35.37024784088135,8349,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [1, 3, 4], 2: [3, 8, 9], 3: [9, 10, 11, 12], 4: [2, 5, 6, 7]}","[{0: [4849, 4949, 4948]}, {1: [4949, 4849, 4749], 4: [4948, 4947, 5047, 5048]}, {2: [4849, 4749, 4649]}, {3: [4649, 4549, 4449, 4349]}]",12,11,20,0,5,2,7,13,20,0,5
