name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result1,2024-11-06 18:07:13,11.008250951766968,4519,8,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [5, 6, 7], 3: [4, 8], 4: [5, 9, 10, 11], 5: [10, 15], 6: [6, 12, 13, 14], 7: [0, 3, 10, 16]}","[{0: [4949, 5049, 5048], 1: [4850, 4950], 2: [4849, 4848, 4948]}, {3: [4950, 5050], 4: [4849, 4749, 4649, 4549], 6: [4848, 4847, 4846, 4746]}, {5: [4649, 4549]}, {7: [4949, 4849, 4749, 4649]}]",12,15,30,2,1,2,11,17,30,0,1
result5,2024-11-06 18:11:56,5.26088809967041,1345,8,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 10, 11, 12], 2: [2, 3, 4, 5], 3: [6, 7, 8, 9], 4: [8, 13], 5: [11, 9], 6: [12, 14, 15], 7: [5, 11, 16, 17]}","[{3: [4949, 4950, 5050, 5150], 0: [5051, 5151], 2: [4948, 5048, 5049, 5149]}, {4: [5050, 4950], 1: [5151, 5051, 4951, 4952]}, {5: [4951, 4950], 6: [4952, 4852, 4752]}, {7: [4950, 4951, 4750, 4850]}]",15,16,38,5,4,2,11,18,38,0,4
result6,2024-11-06 18:12:02,5.480240821838379,3836,8,4,6,,5,100,100,False,"{0: [0, 1], 1: [2, 3], 2: [4, 5], 3: [0, 2, 10], 4: [6, 7, 8, 9], 5: [4, 6, 11], 6: [4, 12, 13], 7: [1, 4, 14, 15]}","[{4: [4951, 5051, 5151, 5150], 0: [4849, 4850], 2: [4950, 4949], 1: [4848, 4948]}, {5: [4950, 4951, 5050], 3: [4849, 4847, 4848]}, {6: [4950, 4949, 4849]}, {7: [4850, 4950, 4949, 4849]}]",14,12,34,1,13,2,8,16,34,0,13
result10,2024-11-06 18:16:39,4.722668647766113,8981,8,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 4, 5], 2: [2, 3], 3: [5, 8], 4: [3, 5], 5: [2, 7], 6: [8, 9], 7: [0, 6]}","[{0: [5049, 4949], 2: [5050, 4950]}, {5: [5050, 5051], 7: [5049, 5149], 1: [4949, 4948, 4848]}, {3: [4848, 4748]}, {6: [4748, 4747], 4: [4849, 4848]}]",12,11,25,2,1,2,7,10,25,0,1
result14,2024-11-06 18:21:15,11.477270126342772,2717,8,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [4, 13, 14], 3: [1, 13, 17], 4: [5, 15, 16], 5: [7, 8], 6: [9, 10, 11, 12], 7: [15, 8, 9, 18]}","[{6: [5050, 5150, 5149, 5148], 5: [4951, 4950], 1: [4849, 4850, 4851], 0: [4948, 4949, 5049, 5048]}, {2: [4849, 4749, 4649], 4: [4850, 4751, 4750]}, {7: [4850, 4950, 5050, 5150], 3: [4949, 4849, 4848]}]",9,18,41,3,10,2,6,19,41,0,10
result15,2024-11-06 18:21:28,23.653916120529175,7816,8,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [7, 8], 3: [4, 9, 10], 4: [2, 5], 5: [8, 14], 6: [7, 2, 15, 16], 7: [3, 11, 12, 13]}","[{1: [4850, 4851, 4951, 5051], 0: [4849, 4949, 4950], 2: [5050, 5049]}, {5: [5049, 4949], 4: [4950, 4951], 3: [4851, 4751, 4750], 7: [4850, 4849, 4848, 4847]}, {6: [5050, 4850, 4950, 4750]}]",11,13,36,1,3,2,10,17,36,0,3
result17,2024-11-06 18:23:23,5.190009117126465,942,8,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8, 9], 3: [8, 12], 4: [12, 13, 14], 5: [8, 15, 16], 6: [2, 5, 10, 11], 7: [1, 13, 17]}","[{1: [5050, 5051, 4951], 2: [5149, 5148, 4948, 5048], 0: [5049, 4949, 4950]}, {3: [4948, 5048], 6: [4950, 4951, 4952, 5052]}, {5: [4948, 4848, 4947], 4: [5048, 5148, 5248]}, {7: [4949, 5048, 4948]}]",15,15,38,1,9,2,11,18,38,0,9
result20,2024-11-06 18:26:30,9.796613216400146,7785,8,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [3, 11, 12], 3: [3, 16], 4: [7, 8, 9, 10], 5: [1, 9, 15], 6: [5, 12, 17, 18], 7: [2, 13, 14]}","[{1: [5050, 5051, 4951], 4: [4849, 4949, 5049, 5048], 0: [5148, 5149, 5150, 5151]}, {2: [5151, 5251, 5351], 7: [5150, 5250, 5350], 5: [5149, 5050, 5049]}, {6: [5051, 5251, 5151, 5351], 3: [5152, 5052]}]",11,17,40,3,16,2,9,19,40,0,16
result21,2024-11-06 18:26:41,4.417770147323608,8119,8,4,6,,5,100,100,False,"{0: [0, 1], 1: [2, 3], 2: [4, 5, 6], 3: [1, 7, 8, 9], 4: [8, 10], 5: [4, 10], 6: [3, 1, 11], 7: [10, 12, 13]}","[{2: [5050, 5049, 5048], 0: [4850, 4950], 1: [4849, 4949]}, {3: [4950, 4951, 4750, 4850]}, {4: [4750, 4650], 6: [4949, 4950, 4951]}, {5: [4750, 4650]}, {7: [4650, 4550, 4450]}]",14,12,36,3,9,2,11,14,36,0,9
result22,2024-11-06 18:26:47,7.422923088073731,3380,8,4,6,,5,100,100,False,"{0: [0, 1], 1: [2, 3], 2: [0, 4, 5, 6], 3: [3, 7, 8], 4: [0, 11], 5: [2, 9, 10], 6: [6, 3, 13], 7: [5, 12]}","[{0: [4949, 5049], 1: [5050, 4950]}, {5: [5050, 5049, 5150], 3: [4950, 4850, 4851], 2: [4949, 4948, 4848, 4849]}, {7: [4848, 4847], 4: [4949, 4948], 6: [4849, 4950, 4850]}]",14,11,32,0,16,2,10,14,32,0,16
