name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result0,2024-11-06 16:37:25,11.823724746704102,5443,7,4,6,,5,100,100,False,"{0: [0, 1], 1: [2, 3, 4], 2: [4, 8, 9], 3: [1, 5], 4: [0, 6, 7], 5: [3, 10], 6: [8, 0, 11]}","[{1: [4948, 4848, 4849], 0: [4949, 4950]}, {5: [4848, 4748], 3: [4950, 5050], 4: [4949, 4948, 4947], 2: [4849, 4750, 4749]}, {6: [4750, 4749, 4650]}]",11,11,34,2,8,3,8,12,32,0,6
result2,2024-11-06 16:39:12,8.872379302978516,1534,7,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [0, 3], 3: [0, 6], 4: [4, 5], 5: [4, 7], 6: [0, 8]}","[{0: [4849, 4848, 4948], 1: [4949, 5049]}, {4: [5049, 5048], 2: [4849, 4949]}, {5: [5049, 5149], 3: [4849, 4848]}, {6: [4849, 4749]}]",10,8,18,0,0,3,10,9,18,0,0
result3,2024-11-06 16:39:32,27.108757972717285,8803,7,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [4, 11, 12, 13], 3: [6, 7, 8, 9], 4: [1, 8, 14, 15], 5: [0, 10], 6: [3, 12]}","[{3: [4851, 4951, 4950, 4949], 1: [5150, 5149], 0: [5049, 5050, 5051, 5151]}, {5: [5049, 4949], 4: [5050, 4950, 4951, 5051], 2: [5150, 5250, 5350, 5351]}, {6: [5151, 5150]}]",8,13,29,2,2,3,8,16,29,0,2
result6,2024-11-06 16:43:16,21.88412117958069,6329,7,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5], 2: [2, 9], 3: [6, 7, 8], 4: [5, 10], 5: [7, 11], 6: [0, 10, 11]}","[{1: [5051, 4951], 3: [5049, 4949, 4948], 0: [4950, 4849, 4850, 4851]}, {2: [4850, 4750], 4: [4951, 5051], 5: [4949, 5049]}, {6: [4950, 5050, 5049]}]",9,11,32,1,6,3,8,12,32,0,6
result7,2024-11-06 16:43:52,25.54276013374329,6199,7,4,6,,5,100,100,False,"{0: [0, 1], 1: [2, 3, 4, 5], 2: [6, 7], 3: [3, 8], 4: [4, 9, 10], 5: [2, 11, 12], 6: [0, 5, 6]}","[{1: [5050, 4949, 4950, 4951], 2: [4851, 4850], 0: [5051, 5151]}, {6: [5051, 4951, 4851], 3: [4949, 4849], 4: [4850, 4950, 4750], 5: [5050, 5150, 5151]}]",6,11,24,1,8,3,6,13,24,0,8
result8,2024-11-06 16:44:23,6.944911003112793,1620,7,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [0, 5], 2: [1, 6], 3: [3, 4], 4: [0, 8], 5: [2, 3], 6: [4, 7]}","[{0: [4848, 4948, 4949], 3: [5049, 5048]}, {2: [4948, 4947], 1: [4848, 4748], 6: [5048, 5047], 5: [4949, 5049]}, {4: [4848, 4748]}]",7,8,21,0,2,3,7,9,21,0,2
result9,2024-11-06 16:44:34,9.135708093643188,7540,7,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [2, 8, 9, 10], 3: [3, 11], 4: [6, 10, 12], 5: [10, 15, 16], 6: [8, 13, 14]}","[{1: [4948, 4949, 4849, 4848], 0: [5050, 4950, 4850, 4851]}, {3: [4851, 4951], 2: [4850, 4650, 4750, 4550]}, {6: [4650, 4750, 4749], 4: [4649, 4550, 4549]}, {5: [4550, 4450, 4549]}]",11,16,33,2,1,3,6,17,33,0,1
result10,2024-11-06 16:44:49,14.66552209854126,6428,7,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [2, 7, 8], 2: [3, 4, 5, 6], 3: [7, 13], 4: [0, 5, 11, 12], 5: [1, 9, 10], 6: [13, 14, 15]}","[{0: [5050, 5150, 5151], 2: [5049, 4949, 4950, 4951]}, {5: [5150, 5149, 5049], 1: [5151, 5252, 5152], 4: [5050, 4950, 4949, 4948]}, {3: [5252, 5152]}, {6: [5152, 4952, 5052]}]",11,13,32,0,0,3,7,16,32,0,0
result11,2024-11-06 16:45:11,12.813759803771973,320,7,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [6, 7, 8], 3: [1, 4, 9], 4: [8, 10], 5: [2, 10, 13], 6: [4, 11, 12]}","[{1: [4848, 4948, 5048], 2: [5049, 5050, 4950], 0: [4850, 4949, 4849]}, {4: [4950, 4850], 3: [5049, 4948, 5048]}, {6: [4948, 4947, 4946], 5: [4848, 4850, 4849]}]",11,11,32,2,5,3,7,14,32,0,5
result12,2024-11-06 16:45:31,12.54412078857422,6123,7,4,6,,5,100,100,False,"{0: [0, 1], 1: [2, 3, 4], 2: [1, 5, 6], 3: [3, 8], 4: [0, 7], 5: [8, 9, 10, 11], 6: [4, 0]}","[{1: [4948, 4848, 4849], 0: [4949, 4950]}, {3: [4848, 4748], 4: [4949, 4948], 2: [4950, 4951, 4851]}, {6: [4849, 4949], 5: [4748, 4647, 4747, 4648]}]",12,11,38,0,16,3,11,12,36,0,14
