name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result0,2024-11-06 14:17:19,79.9940836429596,1358,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [1, 3, 4], 2: [2, 5, 6, 7], 3: [0, 8, 9], 4: [9, 10, 11, 12]}","[{0: [4849, 4949, 4948]}, {3: [4849, 4749, 4748], 1: [4949, 4951, 4950], 2: [4948, 5048, 5148, 5149]}, {4: [4748, 4548, 4648, 4448]}]",7,13,20,0,1,3,6,13,20,0,1
result1,2024-11-06 14:19:12,51.37166166305542,1874,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [3, 7], 3: [7, 8, 9], 4: [1, 4]}","[{1: [4951, 5051, 5050], 0: [4949, 4950, 4849, 4850]}, {2: [4850, 4849], 4: [4950, 4951]}, {3: [4849, 4749, 4649]}]",15,9,24,0,0,3,8,10,24,0,0
result3,2024-11-06 14:23:34,26.920456647872925,7522,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [2, 7, 8], 2: [3, 4, 5, 6], 3: [1, 3, 9], 4: [8, 10]}","[{0: [5049, 5050, 4950], 2: [5150, 4951, 5051, 5151]}, {1: [4950, 4850, 4951], 3: [5050, 5149, 5150]}, {4: [4951, 4851]}]",9,10,18,1,3,3,8,11,18,0,3
result4,2024-11-06 14:24:19,34.98403358459473,81,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [7, 8, 9], 3: [5, 9, 10], 4: [2, 7, 11, 12]}","[{0: [4948, 5048, 5149, 5049], 1: [4949, 4950, 4850], 2: [5150, 5151, 5050]}, {3: [4951, 5050, 5051], 4: [5149, 5150, 5250, 5249]}]",9,14,19,1,0,3,5,13,19,0,0
result5,2024-11-06 14:25:16,35.1993350982666,4114,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [2, 6, 7, 8], 2: [3, 4, 5], 3: [0, 9], 4: [1, 4, 10]}","[{2: [4850, 4848, 4849], 0: [5048, 4948, 4949]}, {3: [5048, 5148], 4: [4948, 4848, 4947], 1: [4949, 4749, 4849, 4750]}]",10,10,24,0,2,3,7,11,24,0,2
result6,2024-11-06 14:26:09,31.14448308944702,9003,5,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5], 2: [1, 6, 7], 3: [2, 8, 9], 4: [0, 4, 10]}","[{0: [5048, 4948, 4949], 1: [5050, 5049, 4950]}, {2: [4948, 4748, 4848], 3: [4949, 4849, 4950], 4: [5048, 5149, 5049]}]",9,10,25,1,4,3,6,11,25,0,4
result7,2024-11-06 14:26:58,26.271965980529785,6619,5,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6, 7], 2: [2, 7, 8], 3: [5, 9, 10], 4: [7, 11, 12]}","[{1: [5051, 5050, 5049, 4950], 0: [4848, 4849, 4949, 4850]}, {3: [5050, 5149, 5049], 2: [4949, 4850, 4950]}, {4: [4850, 4650, 4750]}]",12,11,21,1,6,3,5,13,21,0,6
result8,2024-11-06 14:27:42,25.39235782623291,8077,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 5], 2: [2, 3, 4], 3: [0, 6, 7], 4: [5, 3, 8]}","[{0: [4848, 4849], 2: [4949, 4948, 5048]}, {1: [4848, 4748]}, {4: [4748, 4948, 4848], 3: [4849, 4949, 5049]}]",12,7,24,1,10,3,11,9,24,0,10
result10,2024-11-06 14:31:25,51.44586372375488,4282,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 4], 2: [1, 5, 6], 3: [2, 3], 4: [5, 3, 7]}","[{0: [5049, 4949], 3: [5050, 4950]}, {1: [5049, 5149], 2: [4949, 4948, 4849]}, {4: [4948, 4950, 4949]}]",10,7,21,0,5,3,7,8,21,0,5
result11,2024-11-06 14:32:49,50.55839705467224,3143,5,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 6, 7, 8], 2: [2, 3, 4, 5], 3: [4, 9], 4: [8, 2, 10, 11]}","[{2: [4849, 4850, 4950, 4949], 0: [4948, 4848]}, {3: [4950, 4949], 1: [4848, 4847, 5048, 4948]}, {4: [4848, 4849, 4648, 4748]}]",11,10,24,1,10,3,8,12,24,0,10
