name,date_of_execution,duration_of_execution,seed,number_of_modules,number_of_max_qubits_per_module,number_of_max_gates_per_module,reduced_distance,maximum_allowed_weight,number_of_qubits_x_[row],number_of_qubits_y_[column],heuristic,qubit_modules,qubit_mapping,depth,total_qubits,gate_count,swap_count,t_count,qiskit_optimization_level,qiskit_depth,qiskit_total_qubits,qiskit_gate_count,qiskit_swap_count,qiskit_t_count
result29,2024-11-06 16:44:28,17.866811990737915,7413,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2], 2: [1, 3, 4], 3: [1, 5]}","[{0: [4949, 4950]}, {1: [4949, 5049], 2: [4950, 5150, 5050]}, {3: [4950, 4850]}]",10,6,16,0,0,1,6,6,16,0,0
result30,2024-11-06 16:44:48,23.39822649955749,2493,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [0, 2, 3], 2: [3, 7, 8, 9], 3: [1, 4, 5, 6]}","[{0: [4949, 4950]}, {1: [4949, 4849, 4749], 3: [4950, 5051, 4951, 5050]}, {2: [4749, 4549, 4649, 4449]}]",11,10,18,0,1,1,9,10,18,0,1
result31,2024-11-06 16:45:14,36.14452338218689,4401,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [4, 7], 3: [0, 5, 8, 9]}","[{1: [5051, 5050, 4950, 4949], 0: [4850, 4849, 4851]}, {2: [5050, 5150], 3: [4850, 4951, 4950, 4952]}]",8,10,21,1,0,1,8,10,21,0,0
result32,2024-11-06 16:45:56,35.64788889884949,3391,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [7, 8], 3: [0, 3, 7, 9]}","[{1: [4950, 4851, 4951, 5051], 0: [5050, 5150, 5149], 2: [4850, 4849]}, {3: [5050, 4950, 4850, 4949]}]",9,10,17,0,1,1,6,10,17,0,1
result33,2024-11-06 16:46:37,30.93216228485108,4173,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4], 2: [4, 5], 3: [1, 5, 6, 7]}","[{0: [4949, 5049, 5048], 1: [4950, 5050]}, {2: [5050, 4950]}, {3: [4949, 4950, 4850, 4951]}]",14,7,20,1,0,1,9,8,20,0,0
result34,2024-11-06 16:47:10,99.75934433937071,4036,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [2, 3, 4, 5], 2: [1, 6], 3: [0, 7, 8, 9]}","[{0: [4949, 4848, 4849]}, {2: [4848, 4948], 1: [4849, 4749, 4748, 4747], 3: [4949, 4950, 5048, 5049]}]",7,10,19,0,0,1,6,10,19,0,0
result35,2024-11-06 16:48:52,16.789682865142822,1528,4,4,6,,5,100,100,False,"{0: [0, 1, 2], 1: [3, 4, 5, 6], 2: [2, 7, 8, 9], 3: [4, 8]}","[{1: [4949, 5049, 5050, 5149], 0: [4848, 4948, 5048]}, {2: [5048, 4848, 4948, 4947]}, {3: [4949, 4948]}]",10,8,15,1,0,1,7,10,15,0,0
result36,2024-11-06 16:49:11,23.968565940856934,1161,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [2, 4, 9, 10], 3: [3, 7, 8]}","[{1: [5150, 5050, 4950], 0: [5048, 5148, 5149, 5049]}, {3: [5049, 5148, 5048], 2: [5149, 5150, 5250, 5249]}]",7,9,21,0,0,1,6,11,21,0,0
result37,2024-11-06 16:49:37,16.73567295074463,2805,4,4,6,,5,100,100,False,"{0: [0, 1], 1: [1, 2, 3, 4], 2: [4, 5, 6], 3: [5, 7, 8, 9]}","[{0: [4949, 4950]}, {1: [4950, 4850, 4750, 4650]}, {2: [4650, 4550, 4450]}, {3: [4550, 4450, 4350, 4250]}]",11,9,15,0,3,1,5,10,15,0,3
result39,2024-11-06 16:52:57,16.91793179512024,893,4,4,6,,5,100,100,False,"{0: [0, 1, 2, 3], 1: [4, 5, 6], 2: [1, 4], 3: [5, 7, 8]}","[{1: [5150, 5050, 4950], 0: [5049, 5149, 5148, 5048]}, {2: [5149, 5150], 3: [5050, 4950, 4949]}]",8,8,18,0,3,1,7,9,18,0,3
